weight for each function; alfa, beta, shift for each function; Type function for each function; H(t);
1.28432,0.792196,0.36652,0.341009,0.665648,1.49075;8.22781 ,0.0671785 ,31.8966,7.51269 ,0.0714381 ,46.1607,1.16416 ,6.53313 ,2.37665,1.10474 ,9.08946 ,23.6471,10 ,0.0508768 ,15.1054,6.25731 ,0.549167 ,51.8098;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0380987,0.0366313,0.0335957,0.0302216,0.0268999,0.0237834,0.0209309,0.0183583,0.0160603,0.0140214,0.0122211,0.0106374,0.00924843,0.0539617,0.00697145,0.00604567,0.00523951,0.00453827,0.00392888,0.00339977,0.00294071,0.0306342,0.0292576,0.0271914,0.0249909,0.0228292,0.0207747,0.0188555,0.0170811,0.260854,0.0139739,0.0126036,0.0113696,0.0102501,0.00923611,0.00831878,0.00748974,0.00674113,0.00606561,0.00545641,0.00490732,0.0044126,0.00396706,0.00356594,0.143396,0.00289073,0.00258784,0.00232502,0.00208867,0.056695,0.341085;
1.20818,0.698238,0.333588,0.336845,0.76913,1.48356;8.79945 ,0.0569989 ,34.8114,7.28115 ,0.0611911 ,42.9071,1.00002 ,6.70833 ,2.22905,1.00003 ,9.68905 ,22.3117,9.71792 ,0.0565715 ,13.862,5.50685 ,0.473762 ,52.9877;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0428394,0.0369072,0.0317962,0.027393,0.0235994,0.0203312,0.0175156,0.0150899,0.0130002,0.0111998,0.00964878,0.119356,0.00716233,0.00616958,0.00531517,0.00457908,0.00394493,0.0033986,0.00292793,0.00252245,0.033528,0.0301529,0.0271206,0.0243961,0.0219478,0.0197472,0.0177692,0.0159908,0.0143918,0.0129539,0.0116607,0.0104975,0.107257,0.00851011,0.00766249,0.0069002,0.00621418,0.00559672,0.00504094,0.00454062,0.0351616,0.00368484,0.00331949,0.00299067,0.00269455,0.00242787,0.00218767,0.00197133,0.00177645,0.00160089,0.209221;
1.2195,0.662886,0.38251,0.341026,0.656553,1.41116;7.09175 ,0.0514887 ,27.1369,8.10342 ,0.0671104 ,44.0341,1.0001 ,6.0812 ,2.08089,1.14235 ,8.15364 ,21.8252,9.71438 ,0.052271 ,14.6177,6.00669 ,0.521549 ,52.0027;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0533562,0.0452688,0.0384061,0.0325835,0.0276434,0.0234522,0.0198964,0.0168797,0.0143203,0.012149,0.0103069,0.00874415,0.0550308,0.0062936,0.00533924,0.00452967,0.00384284,0.00326016,0.00276583,0.0316789,0.0306282,0.028526,0.0261647,0.0237989,0.0215332,0.026581,0.0174552,0.0156635,0.0140338,0.0125577,0.0112253,0.0100256,0.00894765,0.00798057,0.00711417,0.00633885,0.00564567,0.00502645,0.00447368,0.00398053,0.0035408,0.00314889,0.118634,0.0024942,0.00221201,0.00196566,0.00174647,0.0015515,0.00137811,0.00122395,0.0863678;
1.21647,0.772374,0.322607,0.303376,0.664362,1.3368;7.98642 ,0.0538192 ,31.3507,7.66313 ,0.0636921 ,41.3213,1.05687 ,6.39597 ,2.33442,1.07518 ,10 ,21.6353,10 ,0.0559848 ,12.7021,6.90291 ,0.480994 ,52.5521;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0400096,0.0355946,0.0311528,0.0270833,0.0234591,0.0202728,0.0174912,0.0150736,0.0129785,0.0111667,0.115424,0.00825424,0.00709093,0.00609021,0.0052292,0.00448878,0.00385233,0.00330548,0.00283576,0.0264358,0.024967,0.0231332,0.0212692,0.0194744,0.0177853,0.0162148,0.0147648,0.0134323,0.0122116,0.039957,0.0100778,0.00914988,0.00830507,0.0075365,0.00683771,0.00620268,0.00562584,0.00510203,0.00462651,0.0706841,0.00380433,0.003448,0.0031257,0.00283337,0.00256826,0.00232785,0.00210986,0.00191221,0.00173303,0.00157058,0.0449382;
1.28357,0.797948,0.337202,0.351204,0.65254,1.41116;8.3078 ,0.0568298 ,32.227,7.69764 ,0.0659523 ,42.1847,1.00002 ,6.70833 ,2.22905,1.07045 ,9.30402 ,23.4359,10 ,0.0534233 ,14.0692,6.00669 ,0.521549 ,52.0027;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0433034,0.0373069,0.0321406,0.0276896,0.023855,0.0205514,0.0177053,0.0152534,0.013141,0.0113211,0.00975328,0.00840257,0.0777456,0.00623668,0.00537274,0.00462868,0.00398766,0.00343541,0.00295965,0.00254977,0.00219665,0.0319471,0.0299731,0.0275967,0.0252146,0.0229425,0.0208206,0.0188614,0.0170645,0.0154239,0.0828844,0.0125743,0.0113442,0.0102305,0.00922296,0.00831228,0.00748968,0.00674705,0.00607693,0.00547248,0.0973352,0.00443862,0.00399334,0.00359439,0.00323499,0.00291129,0.00261978,0.0023573,0.00212098,0.00190825,0.0869976;
1.27352,0.597087,0.359168,0.365874,0.688399,1.38428;9.11561 ,0.05542 ,33.9646,6.89943 ,0.0770984 ,42.5604,1.0001 ,6.8944 ,2.34816,1.04466 ,9.23243 ,22.6308,10 ,0.0487654 ,14.2901,6.24183 ,0.492231 ,50.4478;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0450557,0.0389752,0.0337142,0.0291631,0.0252261,0.0218206,0.0188747,0.0163265,0.0141223,0.0122157,0.0105665,0.00913991,0.0388923,0.00683857,0.00591527,0.00511664,0.00442583,0.00382829,0.00331143,0.00286434,0.0354663,0.032676,0.0297529,0.0269624,0.0243706,0.0219926,0.019825,0.0178572,0.0160753,0.0144647,0.0130109,0.113439,0.010519,0.00945474,0.00849714,0.00763552,0.00686049,0.00616354,0.00553693,0.00497367,0.115622,0.00402795,0.00360374,0.00323648,0.00290654,0.00261016,0.00234393,0.00210481,0.0850125,0.414145,0.454537;
1.47009,0.74344,0.325746,0.421643,0.688776,1.29286;8.88687 ,0.0563864 ,31.6183,7.69764 ,0.0659523 ,42.1847,1.0001 ,6.53515 ,2.04924,1.07649 ,7.42251 ,22.1146,9.56482 ,0.0572442 ,15.2292,5.52218 ,0.524473 ,8;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0427673,0.0367017,0.0314955,0.0270275,0.0231932,0.0199028,0.142056,0.441319,0.409169,0.227205,0.0974611,0.0378342,0.0157356,0.107101,0.00563597,0.004456,0.00373142,0.0031806,0.00272457,0.00233698,0.0463106,0.0425498,0.0382834,0.0341503,0.0303205,0.0268403,0.023711,0.0209152,0.0184281,0.131754,0.0142705,0.0125452,0.0110233,0.00968203,0.00850082,0.00746136,0.00654719,0.00574362,0.00503757,0.00441746,0.0899684,0.00339745,0.00297578,0.00260788,0.0022852,0.00200222,0.00175411,0.0015366,0.00134594,0.00117885,0.00103242;
1.15893,0.848725,0.341646,0.329225,0.664362,1.41116;8.3078 ,0.0568298 ,32.227,7.00084 ,0.0646671 ,45.8772,1.00002 ,6.70833 ,2.22905,1.0001 ,9.70687 ,21.6022,10 ,0.0540192 ,14.5199,6.00669 ,0.521549 ,52.0027;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0438742,0.0377987,0.0325643,0.0280546,0.0241695,0.0208223,0.0179387,0.0154544,0.0133142,0.0114703,0.00988185,0.00851333,0.0863159,0.00631898,0.00544356,0.00468969,0.00404022,0.0034807,0.00299866,0.0331747,0.0298243,0.0268154,0.0241132,0.0216861,0.0195058,0.0175469,0.0157865,0.0142044,0.0127822,0.0115036,0.0726121,0.00932037,0.00839031,0.00755392,0.00680149,0.00612451,0.00551535,0.00496716,0.00447377,0.00402967,0.0036299,0.00327,0.00294596,0.0506408,0.00239203,0.00215482,0.00194172,0.00174977,0.00157688,0.00142113,0.0865617;
1.15362,0.848725,0.341646,0.329225,0.664362,1.29286;8.3078 ,0.0568298 ,32.227,7.00084 ,0.0646671 ,45.8772,1.0001 ,6.53515 ,2.04924,1.07649 ,7.42251 ,22.1146,9.56482 ,0.0572442 ,15.2292,5.52218 ,0.524473 ,8;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0448549,0.0384933,0.0330329,0.0283468,0.0243253,0.0208743,0.14289,0.442035,0.409783,0.227731,0.0979132,0.0382221,0.0160685,0.103884,0.00588107,0.00466635,0.00391192,0.00333549,0.00285749,0.00245104,0.0366973,0.0336846,0.0302879,0.0270046,0.023966,0.0212073,0.0187284,0.016515,0.0145469,0.0128021,0.0732317,0.00989549,0.00869285,0.00763338,0.00670064,0.00588007,0.00515859,0.00452456,0.00396761,0.00347857,0.00304929,0.00267258,0.00234208,0.0500388,0.00179857,0.00157508,0.00137969,0.00120843,0.00105834,0.000926817,0.000811583;
1.30979,0.737404,0.325746,0.37086,0.664362,1.41116;8.3078 ,0.0568298 ,32.227,7.69764 ,0.0659523 ,42.1847,1.02662 ,6.60685 ,2.12913,1.0001 ,9.02069 ,22.539,10 ,0.0534233 ,14.0692,6.00669 ,0.521549 ,52.0027;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0409024,0.0358118,0.0311157,0.0269507,0.0233032,0.0201275,0.0173715,0.0149846,0.0129203,0.0111367,0.00959677,0.00826793,0.0789059,0.00613381,0.00528171,0.00454764,0.00391519,0.00337039,0.00290115,0.00249706,0.0389413,0.0347833,0.0310707,0.0277562,0.0247968,0.0221544,0.0197948,0.0176876,0.0158057,0.0141249,0.0829862,0.0112826,0.0100842,0.00901381,0.00805741,0.00720284,0.00643921,0.00575679,0.00514693,0.00460186,0.0895111,0.00368154,0.00328998,0.00294202,0.00263096,0.00235286,0.00210423,0.00188193,0.00168317,0.00150544,0.0866274;
1.30979,0.773585,0.349051,0.351799,0.664362,1.31348;8.3078 ,0.0568298 ,32.227,7.21533 ,0.0682217 ,41.3918,1.0001 ,6.73836 ,2.09884,1.0064 ,9.51888 ,22.8633,10 ,0.0534233 ,14.0692,6.00211 ,0.533721 ,8.08787;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0446504,0.038495,0.0331873,0.028611,0.0246656,0.0212642,0.0908849,0.372855,0.430348,0.281578,0.13664,0.0570909,0.0953665,0.0112966,0.00692386,0.00516772,0.00424219,0.00360363,0.00309378,0.00266413,0.0352121,0.0317446,0.0285729,0.025703,0.0231148,0.0207842,0.0186873,0.0168014,0.0151057,0.0135813,0.0825736,0.0109795,0.00987207,0.00887686,0.00798228,0.00717814,0.00645526,0.00580541,0.00522119,0.0845342,0.00422625,0.00379908,0.00341728,0.00307396,0.00276523,0.00248759,0.0022379,0.00201334,0.00181136,0.0016297,0.00146629;
1.30979,0.736209,0.325746,0.358711,0.668845,1.41116;8.3078 ,0.0568298 ,32.227,7.69764 ,0.0659523 ,42.1847,1.05447 ,6.31326 ,2.31055,1.00003 ,9.68905 ,22.3117,9.25227 ,0.053954 ,14.2316,6.00669 ,0.521549 ,52.0027;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0410078,0.0363474,0.0317157,0.0274972,0.0237561,0.0204785,0.017626,0.0151538,0.0130172,0.0111743,0.00958699,0.00822148,0.0533901,0.00603982,0.00517435,0.00443192,0.0037952,0.00324935,0.00278154,0.00238071,0.0354276,0.0318598,0.0286551,0.025776,0.0231892,0.0208644,0.0187749,0.0168966,0.0152078,0.0136891,0.082686,0.0110952,0.00998978,0.00899551,0.00810085,0.00729573,0.00657112,0.00591889,0.00533175,0.00480316,0.0895852,0.003901,0.0035128,0.00316525,0.00285224,0.00257029,0.00231633,0.00208754,0.00188143,0.00169573,0.0868093;
1.01856,0.681943,0.315377,0.361206,0.688399,1.38428;8.50267 ,0.0617371 ,28.5896,7.19065 ,0.0538614 ,35.2743,1.00002 ,6.70833 ,2.22905,1.12496 ,9.80563 ,22.0655,10 ,0.0563119 ,15.3714,6.24183 ,0.492231 ,50.4478;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0405007,0.0348923,0.0300604,0.0258975,0.0223111,0.0192213,0.0165594,0.0142661,0.0122905,0.0105884,0.00912202,0.00785873,0.00677039,0.120588,0.00502614,0.00432909,0.00372956,0.00321306,0.00276809,0.00238474,0.02861,0.0279206,0.0263674,0.0245688,0.022726,0.020925,0.14726,0.0175903,0.0160787,0.0146788,0.0133864,0.0121969,0.0111049,0.0176885,0.0091891,0.00835291,0.00758979,0.00689398,0.00626001,0.00568278,0.0051575,0.00467973,0.00424537,0.00385062,0.003492,0.00316629,0.00287055,0.0026021,0.0854809,0.414585,0.45495;
1.40298,0.818509,0.31194,0.380126,0.673959,1.31836;9.36549 ,0.0610182 ,31.9644,7.15988 ,0.0657492 ,43.668,1.03067 ,6.53827 ,2.30908,1.0348 ,9.64946 ,20.2311,10 ,0.0560318 ,16.6737,5.60002 ,0.562684 ,47.2052;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0393125,0.034462,0.0299446,0.0259255,0.0224015,0.0193322,0.0166691,0.0143637,0.0123712,0.0106511,0.00916725,0.00788814,0.00678605,0.00583688,0.11308,0.0043173,0.00371105,0.00319033,0.036197,0.0332547,0.0302776,0.0274678,0.0248711,0.0224936,0.0203277,0.0183605,0.0165773,0.014963,0.0135029,0.297742,0.0109985,0.00991495,0.0089433,0.00806639,0.00727513,0.00656126,0.00591727,0.00533638,0.00481245,0.00433991,0.00391374,0.0642383,0.00318389,0.00287025,0.00258839,0.0930028,0.373962,0.407943,0.259622,0.123283,0.0490179;
1.30979,0.774565,0.325746,0.37086,0.664362,1.41116;8.3078 ,0.0568298 ,32.227,7.08034 ,0.0656985 ,40.5027,1.00002 ,6.70833 ,2.22905,1.00003 ,9.68905 ,22.3117,10 ,0.0534233 ,14.0692,6.00669 ,0.521549 ,52.0027;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0418322,0.0360395,0.0310487,0.0267489,0.0230446,0.0198533,0.0171038,0.0147352,0.0126945,0.0109365,0.00942193,0.00811711,0.0787771,0.00602481,0.00519021,0.00447143,0.00385218,0.0033187,0.0028591,0.00246314,0.0366431,0.0329646,0.0296585,0.0266866,0.024015,0.0216129,0.0194529,0.0175103,0.015763,0.0141913,0.0831399,0.0115053,0.0103602,0.00932992,0.00840267,0.00756806,0.00681677,0.00614041,0.0589704,0.00498408,0.00448949,0.00404489,0.0036445,0.00328389,0.00295908,0.00266652,0.00240297,0.00216555,0.00195167,0.00175896,0.0868662;
1.30979,0.659111,0.337497,0.332144,0.726244,1.41116;8.3078 ,0.0568298 ,32.227,6.8931 ,0.0758632 ,40.8931,1.0001 ,6.75732 ,2.45122,1.05819 ,9.00978 ,23.0267,9.94827 ,0.0501873 ,14.1416,6.00669 ,0.521549 ,52.0027;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0430693,0.0371473,0.0320387,0.0276323,0.0238318,0.0205539,0.0177268,0.0152886,0.0131856,0.011372,0.00980776,0.00845869,0.049486,0.00629177,0.00542628,0.00467988,0.00403615,0.00348096,0.00300215,0.00258919,0.00223304,0.0318667,0.0295593,0.0269961,0.0244998,0.022158,0.0199969,0.0180202,0.0162216,0.0145909,0.0834787,0.0117846,0.0105837,0.00950218,0.00852884,0.00765341,0.00686647,0.00615939,0.116069,0.00496641,0.00444213,0.00398272,0.0035705,0.00320068,0.00286897,0.00257146,0.00230467,0.00206546,0.00185098,0.0016587,0.0867672;
1.30979,0.737404,0.336078,0.303376,0.664362,1.41116;8.3078 ,0.0568298 ,32.227,7.69764 ,0.0659523 ,42.1847,1.0001 ,6.84174 ,2.39873,1.07518 ,10 ,21.6353,10 ,0.0534233 ,14.0692,6.00669 ,0.521549 ,52.0027;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0424364,0.0366683,0.0316834,0.0273758,0.0236537,0.0204376,0.0176587,0.0152577,0.0131831,0.0113905,0.0098417,0.00850348,0.0791313,0.00634845,0.00548498,0.00473915,0.00409474,0.00353795,0.00305686,0.0266446,0.0251629,0.023316,0.021439,0.0196313,0.0179298,0.0163474,0.0148861,0.0135429,0.0123122,0.0111871,0.0805229,0.00922465,0.00837223,0.00759692,0.00689198,0.00625135,0.00566942,0.005141,0.00466131,0.00422597,0.0892274,0.00347493,0.0031476,0.00285283,0.00258552,0.00234316,0.00212342,0.00192422,0.00174365,0.00157997,0.0867125;
1.54277,0.764052,0.322198,0.372052,0.699753,1.35779;9.04267 ,0.0553485 ,27.0477,7.91144 ,0.0685501 ,38.8669,1.0001 ,6.44921 ,2.35465,1.06657 ,10 ,19.5049,10 ,0.0500541 ,15.3598,6.31054 ,0.524209 ,8;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0427779,0.0366361,0.0313752,0.0268694,0.0230105,0.0197058,0.0746091,0.354534,0.447135,0.307946,0.153432,0.0641955,0.0256454,0.0525701,0.00647085,0.00459325,0.00368169,0.032996,0.030969,0.0285925,0.0262226,0.0239627,0.0218489,0.019892,0.0180913,0.131839,0.0149329,0.0135563,0.0123026,0.0111616,0.0101241,0.00918135,0.00832508,0.00754769,0.00684215,0.00620199,0.140957,0.00510214,0.00461702,0.00418399,0.00379141,0.00343553,0.00311295,0.00282057,0.00255559,0.00231544,0.00209782,0.00190061,0.0017219,0.00155998,0.00141325;
1.30979,0.737404,0.325746,0.37086,0.664362,1.41116;8.3078 ,0.0568298 ,32.227,7.69764 ,0.0659523 ,42.1847,1.00002 ,6.70833 ,2.22905,1.00003 ,9.68905 ,22.3117,10 ,0.0534233 ,14.0692,6.00669 ,0.521549 ,52.0027;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0418322,0.0360395,0.0310487,0.0267489,0.0230446,0.0198533,0.0171038,0.0147352,0.0126945,0.0109365,0.00942193,0.00811711,0.0787771,0.00602481,0.00519021,0.00447143,0.00385218,0.0033187,0.0028591,0.00246314,0.0366431,0.0329646,0.0296585,0.0266866,0.024015,0.0216129,0.0194529,0.0175103,0.015763,0.0141913,0.0831399,0.0115053,0.0103602,0.00932992,0.00840267,0.00756806,0.00681677,0.00614041,0.00553147,0.00498319,0.0898859,0.0040472,0.0036445,0.00328389,0.00295908,0.00266652,0.00240297,0.00216555,0.00195167,0.00175896,0.0868662;
1.30979,0.737404,0.325746,0.37086,0.664362,1.41116;8.3078 ,0.0568298 ,32.227,7.69764 ,0.0659523 ,42.1847,1.00002 ,6.70833 ,2.22905,1.00003 ,9.68905 ,22.3117,10 ,0.0534233 ,14.0692,6.00669 ,0.521549 ,52.0027;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0418322,0.0360395,0.0310487,0.0267489,0.0230446,0.0198533,0.0171038,0.0147352,0.0126945,0.0109365,0.00942193,0.00811711,0.0787771,0.00602481,0.00519021,0.00447143,0.00385218,0.0033187,0.0028591,0.00246314,0.0366431,0.0329646,0.0296585,0.0266866,0.024015,0.0216129,0.0194529,0.0175103,0.015763,0.0141913,0.0831399,0.0115053,0.0103602,0.00932992,0.00840267,0.00756806,0.00681677,0.00614041,0.00553147,0.00498319,0.0898859,0.0040472,0.0036445,0.00328389,0.00295908,0.00266652,0.00240297,0.00216555,0.00195167,0.00175896,0.0868662;
1.23948,0.737404,0.330465,0.399009,0.702247,1.41116;8.98058 ,0.0543683 ,29.8509,7.69764 ,0.0659523 ,42.1847,1.0001 ,7.25964 ,2.44416,1.0001 ,9.9503 ,22.4418,8.51134 ,0.051641 ,15.1176,6.00669 ,0.521549 ,52.0027;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0396576,0.0345568,0.0301112,0.0262372,0.0228614,0.0199199,0.0173569,0.0151236,0.0131776,0.011482,0.0100046,0.00871725,0.00759556,0.0237304,0.00576661,0.00502458,0.00437803,0.00381468,0.00332382,0.00289612,0.0387833,0.0349939,0.0315764,0.0284947,0.0257155,0.0232091,0.0209484,0.0939122,0.0170697,0.0154099,0.0139124,0.0125613,0.011342,0.0102416,0.0092485,0.00835213,0.00754302,0.00681263,0.00615325,0.00555795,0.0904168,0.00453745,0.00409691,0.00370117,0.00334379,0.00302103,0.00272952,0.00246622,0.0022284,0.00201358,0.0871004;
1.30979,0.737404,0.325746,0.37086,0.664362,1.41116;8.3078 ,0.0568298 ,32.227,7.69764 ,0.0659523 ,42.1847,1.00002 ,6.70833 ,2.22905,1.00003 ,9.68905 ,22.3117,10 ,0.0534233 ,14.0692,6.00669 ,0.521549 ,52.0027;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0418322,0.0360395,0.0310487,0.0267489,0.0230446,0.0198533,0.0171038,0.0147352,0.0126945,0.0109365,0.00942193,0.00811711,0.0787771,0.00602481,0.00519021,0.00447143,0.00385218,0.0033187,0.0028591,0.00246314,0.0366431,0.0329646,0.0296585,0.0266866,0.024015,0.0216129,0.0194529,0.0175103,0.015763,0.0141913,0.0831399,0.0115053,0.0103602,0.00932992,0.00840267,0.00756806,0.00681677,0.00614041,0.00553147,0.00498319,0.0898859,0.0040472,0.0036445,0.00328389,0.00295908,0.00266652,0.00240297,0.00216555,0.00195167,0.00175896,0.0868662;
1.23157,0.704541,0.402196,0.392297,0.743371,1.52408;9.53549 ,0.0505983 ,30.4878,7.45062 ,0.0712022 ,45.4881,1.00462 ,7.45589 ,2.87642,1.0001 ,8.90789 ,18.8711,7.28724 ,0.048787 ,14.1731,6.52121 ,0.475128 ,48.3771;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0468606,0.0411103,0.0360177,0.0315388,0.0276086,0.0241636,0.0211457,0.018503,0.0161894,0.0141642,0.0123918,0.0108408,0.0122021,0.0082961,0.00725711,0.00634811,0.0449093,0.0400369,0.0356939,0.0318232,0.0283734,0.0252987,0.0225581,0.0201153,0.0179378,0.0159967,0.0142663,0.0127235,0.0680316,0.0101218,0.00902833,0.00805332,0.00718389,0.00640857,0.00571714,0.00510049,0.00455052,0.00406,0.00362249,0.00323223,0.00288411,0.00257357,0.00229655,0.118899,0.00183705,0.0016322,0.0810339,0.44673,0.510441,0.304922,0.127898;
1.30979,0.737404,0.325746,0.303376,0.664362,1.41116;8.3078 ,0.0568298 ,32.227,7.69764 ,0.0659523 ,42.1847,1.0001 ,6.84174 ,2.39873,1.07518 ,10 ,21.6353,10 ,0.0534233 ,14.0692,6.00669 ,0.521549 ,52.0027;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0411317,0.035541,0.0307093,0.0265342,0.0229265,0.0198093,0.0171158,0.0147886,0.0127778,0.0110403,0.00953913,0.00824205,0.0789055,0.00615328,0.00531635,0.00459345,0.00396885,0.00342917,0.00296288,0.0265634,0.0250928,0.0232554,0.0213866,0.0195861,0.0178907,0.0163136,0.0148569,0.0135176,0.0122904,0.0111682,0.0805066,0.00921059,0.00836009,0.00758643,0.00688291,0.00624352,0.00566265,0.00513515,0.00465626,0.00422161,0.0892236,0.00347167,0.00314478,0.00285039,0.00258342,0.00234134,0.00212186,0.00192287,0.00174248,0.00157896,0.0867116;
1.12163,0.715472,0.325746,0.417123,0.811672,1.62368;6.98512 ,0.0714867 ,32.3517,7.40246 ,0.0680647 ,34.3819,1.00002 ,6.70833 ,2.22905,1.15713 ,7.718 ,23.511,8.64921 ,0.0396632 ,12.5738,6.68169 ,0.586395 ,49.5653;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0418322,0.0360395,0.0310487,0.0267489,0.0230446,0.0198533,0.0171038,0.0147352,0.0126945,0.0109365,0.010053,0.00811711,0.00699299,0.00602454,0.00519021,0.00447143,0.00385218,0.0033187,0.0028591,0.00246314,0.00212203,0.0388297,0.03782,0.0352918,0.0323584,0.029384,0.0265205,0.0238354,0.0213561,0.0190898,0.152803,0.015181,0.0973052,0.0120037,0.0106575,0.00945741,0.00838691,0.00743325,0.00658465,0.00583026,0.00516018,0.00456542,0.00403786,0.00357018,0.00315578,0.00278878,0.00246387,0.0282915,0.245497,0.444805,0.414312;
