weight for each function; alfa, beta, shift for each function; Type function for each function; H(t);
1.30979,0.73691,0.325746,0.329225,0.664362,1.29286;8.3078 ,0.0568298 ,32.227,7.29672 ,0.0672608 ,40.982,1.00002 ,6.70833 ,2.22905,1.00003 ,9.68905 ,22.3117,9.56482 ,0.0572442 ,15.2292,5.52218 ,0.524473 ,8;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0418322,0.0360395,0.0310487,0.0267489,0.0230446,0.0198533,0.142081,0.441399,0.409287,0.227349,0.0976219,0.0380041,0.015909,0.103771,0.00580438,0.00461815,0.00388573,0.00332609,0.00286067,0.00246347,0.0327676,0.0294691,0.0265057,0.023843,0.0214502,0.0192996,0.0173664,0.0156284,0.0140657,0.0126604,0.0817591,0.0102599,0.00923691,0.0083168,0.0074889,0.00674389,0.00607342,0.00546996,0.0777843,0.00443978,0.00399756,0.0036012,0.00324432,0.00292295,0.00263354,0.00237289,0.00213814,0.00192669,0.00173623,0.00156465,0.00141008;
1.15362,0.848725,0.341646,0.37086,0.664362,1.41116;8.3078 ,0.0568298 ,32.227,7.00084 ,0.0646671 ,45.8772,1.0001 ,6.53515 ,2.04924,1.07649 ,7.42251 ,22.1146,10 ,0.0534233 ,14.0692,6.00669 ,0.521549 ,52.0027;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0448549,0.0384933,0.0330329,0.0283468,0.0243253,0.0208743,0.0179128,0.0153714,0.0131906,0.0113191,0.0097132,0.0083351,0.0789366,0.00613799,0.0052669,0.00451963,0.00387838,0.00332811,0.00285591,0.00245071,0.0410721,0.0377163,0.0339224,0.0302516,0.0268526,0.0237655,0.0209907,0.0185124,0.0163084,0.0143539,0.0745979,0.0110975,0.00974977,0.00856233,0.00751681,0.00659689,0.00578797,0.00507702,0.00445244,0.00390395,0.00342244,0.00299986,0.00262908,0.0502904,0.00201918,0.00176847,0.00154919,0.00135698,0.00118851,0.00104088,0.0861924;
1.23948,0.737404,0.330465,0.399009,0.702247,1.41116;8.98058 ,0.0543683 ,29.8509,7.69764 ,0.0659523 ,42.1847,1.0001 ,7.25964 ,2.44416,1.0001 ,9.9503 ,22.4418,8.51134 ,0.051641 ,15.1176,6.00669 ,0.521549 ,52.0027;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0396576,0.0345568,0.0301112,0.0262372,0.0228614,0.0199199,0.0173569,0.0151236,0.0131776,0.011482,0.0100046,0.00871725,0.00759556,0.0237304,0.00576661,0.00502458,0.00437803,0.00381468,0.00332382,0.00289612,0.0387833,0.0349939,0.0315764,0.0284947,0.0257155,0.0232091,0.0209484,0.0939122,0.0170697,0.0154099,0.0139124,0.0125613,0.011342,0.0102416,0.0092485,0.00835213,0.00754302,0.00681263,0.00615325,0.00555795,0.0904168,0.00453745,0.00409691,0.00370117,0.00334379,0.00302103,0.00272952,0.00246622,0.0022284,0.00201358,0.0871004;
1.30979,0.74322,0.339355,0.390418,0.720324,1.41116;8.3078 ,0.0568298 ,32.227,7.69764 ,0.0659523 ,42.1847,1.12735 ,6.45918 ,2.17854,1.0001 ,9.18776 ,23.73,10 ,0.0534233 ,14.0692,6.00669 ,0.521549 ,52.0027;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0377159,0.0352878,0.0318283,0.0282806,0.0249226,0.0218495,0.0190867,0.0166295,0.0144596,0.012553,0.0108838,0.00942665,0.0859881,0.00705388,0.00609521,0.00526407,0.004544,0.00392069,0.00338155,0.00291552,0.00251292,0.0402702,0.0360429,0.0322607,0.0288769,0.0258497,0.0231412,0.0207178,0.0185494,0.0166088,0.0852349,0.0133182,0.0119268,0.0106815,0.00956676,0.00856881,0.00767534,0.00687536,0.00615906,0.00551764,0.0910131,0.00443114,0.00396809,0.00355544,0.00318583,0.00285474,0.00255815,0.00229246,0.00205443,0.00184117,0.086931;
1.4442,0.818637,0.325746,0.333774,0.676294,1.41116;9.01282 ,0.0651282 ,34.9601,7.6425 ,0.0701088 ,44.5545,1.00002 ,6.70833 ,2.22905,1.00003 ,9.68905 ,22.3117,10 ,0.0534233 ,14.0692,6.00669 ,0.521549 ,52.0027;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0418322,0.0360395,0.0310487,0.0267489,0.0230446,0.0198533,0.0171038,0.0147352,0.0126945,0.0109365,0.00942193,0.00811711,0.0800664,0.00602482,0.00519021,0.00447143,0.00385218,0.0033187,0.0028591,0.00246314,0.033191,0.029851,0.0268501,0.0241537,0.0217304,0.0195523,0.0175943,0.015834,0.0142511,0.0128276,0.0115473,0.0103957,0.376784,0.00844786,0.00758873,0.00683394,0.00615463,0.0055432,0.00499283,0.00449737,0.0040513,0.00364968,0.143396,0.00297132,0.0026691,0.00240497,0.00216707,0.00195279,0.00175976,0.00158588,0.0867101;
1.30979,0.737404,0.325746,0.366849,0.688399,1.38428;8.3078 ,0.0568298 ,32.227,7.69764 ,0.0659523 ,42.1847,1.00002 ,6.70833 ,2.22905,1.08445 ,10 ,21.2866,10 ,0.0563119 ,15.3714,6.24183 ,0.492231 ,50.4478;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0418322,0.0360395,0.0310487,0.0267489,0.0230446,0.0198533,0.0171038,0.0147352,0.0126945,0.0109365,0.00942193,0.00811711,0.00699299,0.12078,0.00519135,0.00447143,0.00385218,0.0033187,0.0028591,0.0309951,0.0294951,0.0274591,0.0253371,0.0232667,0.0213014,0.0194624,0.017756,0.0161815,0.014734,0.013407,0.0825556,0.0110841,0.0100718,0.00914937,0.00830918,0.00754442,0.00684869,0.00621603,0.00564096,0.0051184,0.0900401,0.00421486,0.00382108,0.00346569,0.0031431,0.00285033,0.00258467,0.00234362,0.0852474,0.414374,0.45476;
1.35222,0.737404,0.325746,0.37086,0.664362,1.41116;8.10555 ,0.0551407 ,33.1392,7.69764 ,0.0659523 ,42.1847,1.08197 ,6.43948 ,2.12901,1.00003 ,9.68905 ,22.3117,10 ,0.0534233 ,14.0692,6.00669 ,0.521549 ,52.0027;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0387726,0.0351364,0.0310991,0.0272613,0.023771,0.0206583,0.0179119,0.0155043,0.013403,0.0115747,0.00998759,0.00861223,0.0792061,0.00639347,0.00550467,0.00473791,0.00407664,0.00350667,0.00301562,0.00259275,0.0367498,0.0330519,0.0297294,0.0267439,0.0240608,0.0216492,0.0194813,0.0175323,0.0157798,0.0142038,0.0127863,0.0573095,0.0103643,0.00933226,0.00840367,0.00756803,0.00681596,0.00613905,0.00552971,0.00498116,0.0898837,0.00404492,0.0036422,0.00328162,0.00295688,0.0026644,0.00240096,0.00216366,0.00194989,0.00175731,0.0868647;
1.30979,0.768283,0.325746,0.37086,0.664362,1.41116;8.3078 ,0.0568298 ,32.227,7.69764 ,0.0659523 ,42.1847,1.00002 ,6.70833 ,2.22905,1.00003 ,9.68905 ,22.3117,10 ,0.0534233 ,14.0692,6.00669 ,0.521549 ,52.0027;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0418322,0.0360395,0.0310487,0.0267489,0.0230446,0.0198533,0.0171038,0.0147352,0.0126945,0.0109365,0.00942193,0.00811711,0.0787771,0.00602481,0.00519021,0.00447143,0.00385218,0.0033187,0.0028591,0.00246314,0.0366431,0.0329646,0.0296585,0.0266866,0.024015,0.0216129,0.0194529,0.0175103,0.015763,0.0141913,0.0831399,0.0115053,0.0103602,0.00932992,0.00840267,0.00756806,0.00681677,0.00614041,0.00553147,0.00498319,0.0934618,0.00404729,0.0036445,0.00328389,0.00295908,0.00266652,0.00240297,0.00216555,0.00195167,0.00175896,0.0868662;
1.30979,0.784154,0.324305,0.33721,0.725923,1.29506;8.3078 ,0.0568298 ,32.227,6.89943 ,0.0770984 ,42.5604,1.06064 ,7.19831 ,2.43992,1.05341 ,9.48309 ,22.0881,8.715 ,0.0549551 ,16.4268,6.4283 ,0.54996 ,48.603;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0359196,0.0326027,0.0290804,0.0257539,0.0227189,0.019992,0.0175624,0.0154088,0.0135063,0.0118298,0.0103552,0.00905973,0.00792302,0.00692643,0.0455303,0.00528895,0.00461981,0.00403457,0.0035228,0.00307543,0.0318835,0.0296107,0.0271206,0.0246998,0.022426,0.0203225,0.0183922,0.0166295,0.0150251,0.013568,0.0826096,0.0110508,0.00996818,0.00898966,0.00810556,0.00730716,0.00658645,0.00593607,0.00534934,0.00482015,0.150322,0.00393299,0.00352487,0.0031753,0.00286025,0.00257635,0.0410694,0.272895,0.398935,0.308858,0.168921;
1.30979,0.737404,0.321842,0.37086,0.664362,1.24452;8.3078 ,0.0568298 ,32.227,7.69764 ,0.0659523 ,42.1847,1.00681 ,6.7746 ,2.04598,1.00003 ,9.68905 ,22.3117,10 ,0.0534233 ,14.0692,5.42779 ,0.501539 ,7.76135;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0406146,0.0352069,0.0304594,0.0263309,0.022752,0.173541,0.467974,0.384442,0.192638,0.0767542,0.0295287,0.0135593,0.0801466,0.00637467,0.00530484,0.00453538,0.00390547,0.00336898,0.00290736,0.00250918,0.0366866,0.0330054,0.0296965,0.0267218,0.0240474,0.0216426,0.01948,0.0175349,0.0157854,0.0142115,0.0831582,0.0115217,0.010375,0.0093432,0.00841457,0.0075787,0.00682627,0.00614889,0.00553902,0.00498991,0.0898918,0.0040525,0.00364921,0.00328806,0.00296278,0.00266979,0.00240586,0.00216811,0.00195392,0.00176096,0.0015871;
1.30979,0.737404,0.309936,0.329218,0.690994,1.35725;8.3078 ,0.0568298 ,32.227,7.69764 ,0.0659523 ,42.1847,1.07175 ,6.03188 ,2.20284,1.19228 ,9.31872 ,23.9833,9.99893 ,0.0632737 ,14.3642,6.40233 ,0.509494 ,8;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.039722,0.0353696,0.0308507,0.0266827,0.0229712,0.0197181,0.0760113,0.36568,0.453402,0.303663,0.146454,0.0593711,0.276455,0.0104075,0.00601734,0.00434916,0.00350495,0.0029349,0.00248554,0.00211125,0.00179449,0.0239757,0.0243375,0.0234764,0.0221772,0.0207116,0.0192036,0.0177173,0.0162869,0.0149309,0.0840208,0.0124725,0.011373,0.0103582,0.00942434,0.00856723,0.00778218,0.00706439,0.00640905,0.00581149,0.0906636,0.00477416,0.00432147,0.00391225,0.00354065,0.00320343,0.00289755,0.00262024,0.00236892,0.00214125,0.00193508;
1.30979,0.737404,0.288162,0.329659,0.664362,1.41116;8.3078 ,0.0568298 ,32.227,7.69764 ,0.0659523 ,42.1847,1.00002 ,6.70833 ,2.22905,1.00003 ,9.68905 ,22.3117,10 ,0.0534233 ,14.0692,6.00669 ,0.521549 ,52.0027;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0370057,0.0318813,0.0274663,0.0236627,0.0203858,0.0175626,0.0151304,0.0130351,0.0112299,0.00967467,0.00833485,0.00718057,0.0779703,0.00532971,0.00459137,0.00395552,0.00340773,0.00293579,0.00252922,0.00217895,0.0325631,0.0292946,0.0263568,0.0237161,0.021342,0.0192075,0.017288,0.0155617,0.014009,0.0126123,0.0817184,0.0102253,0.00920769,0.00829209,0.00746804,0.00672631,0.00605861,0.00545752,0.00491633,0.00442904,0.0893866,0.00359743,0.00323927,0.00291877,0.00263009,0.00237006,0.00213582,0.00192481,0.0017347,0.00156343,0.08669;
1.40757,0.727248,0.38632,0.407668,0.664362,1.30647;7.42465 ,0.0559327 ,31.754,7.92482 ,0.0618274 ,43.214,1.05654 ,7.21699 ,2.29712,1.16806 ,9.09033 ,19.2194,10 ,0.0534233 ,14.0692,6.69134 ,0.530418 ,8.40917;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.042948,0.0388855,0.0346392,0.0306518,0.0270246,0.0237716,0.0547986,0.284364,0.421916,0.330776,0.183481,0.0841007,0.107963,0.0169174,0.00977136,0.00699861,0.00567754,0.0347403,0.0342917,0.032518,0.030326,0.0280221,0.0257421,0.0235523,0.0214852,0.0195555,0.0177677,0.0161204,0.0146087,0.0429708,0.011964,0.0108148,0.00977,0.00882142,0.00796119,0.00718184,0.00647636,0.00583824,0.00526141,0.00474028,0.00426972,0.0641386,0.0034625,0.00311622,0.00280464,0.00252381,0.00227076,0.0020428,0.00183748,0.00165261,0.00148616;
1.30979,0.737404,0.295207,0.37853,0.60572,1.36448;8.3078 ,0.0568298 ,32.227,7.69764 ,0.0659523 ,42.1847,1.0001 ,6.39622 ,2.07872,1.04402 ,8.17036 ,21.8557,10 ,0.0545305 ,12.756,5.70325 ,0.57324 ,49.1814;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0394684,0.0337583,0.0288735,0.0246953,0.0211215,0.0180648,0.0154505,0.0132145,0.011302,0.00966634,0.0862265,0.0070713,0.00604752,0.00517228,0.00442371,0.00378347,0.0032359,0.00276757,0.00236702,0.0402987,0.0366456,0.0329292,0.0294467,0.0262631,0.0233851,0.0207991,0.018484,0.0164165,0.0145734,0.0129322,0.081835,0.010175,0.00902199,0.00799839,0.00708984,0.00628367,0.00556852,0.00493428,0.00437189,0.0038733,0.0888277,0.00304193,0.00269248,0.00238486,0.00211229,0.00187081,0.00165686,0.0795919,0.356925,0.419541,0.283888;
1.17363,0.629777,0.335088,0.409388,0.662163,1.41116;8.32141 ,0.0554096 ,36.7474,8.82657 ,0.0676098 ,44.4385,1.08162 ,6.31567 ,2.14193,1.0001 ,9.33377 ,24.0772,9.25227 ,0.053954 ,14.2316,6.00669 ,0.521549 ,52.0027;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.040627,0.0366961,0.0323764,0.0282918,0.0245927,0.0213061,0.0184164,0.0158918,0.0136957,0.0117911,0.010143,0.00871942,0.0533706,0.00643326,0.00552209,0.00473835,0.00406454,0.00348556,0.0029883,0.00256141,0.00219504,0.00188074,0.0410094,0.0367779,0.0329847,0.0295846,0.0265367,0.0238044,0.0213548,0.0191584,0.0171891,0.015423,0.0138392,0.0124187,0.0612685,0.0100018,0.00897645,0.00805666,0.00723145,0.00649103,0.00582666,0.00523049,0.185657,0.00423086,0.00378447,0.00339773,0.0030506,0.00273902,0.00245933,0.00220826,0.0872638;
1.30979,0.737404,0.325746,0.358711,0.709423,1.36448;8.3078 ,0.0568298 ,32.227,7.69764 ,0.0659523 ,42.1847,1.05447 ,6.31326 ,2.31055,1.00003 ,9.68905 ,22.3117,9.14447 ,0.0525319 ,13.4752,5.70325 ,0.57324 ,49.1814;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0410078,0.0363474,0.0317157,0.0274972,0.0237561,0.0204785,0.017626,0.0151538,0.0130172,0.0111743,0.00958699,0.0432441,0.00704784,0.00603969,0.00517435,0.00443192,0.0037952,0.00324935,0.00278154,0.00238071,0.0354276,0.0318598,0.0286551,0.025776,0.0231892,0.0208644,0.0187749,0.0168966,0.0152078,0.0136891,0.082686,0.0110952,0.00998978,0.00899551,0.00810085,0.00729573,0.00657112,0.00591889,0.00533175,0.00480316,0.0897236,0.00390101,0.0035128,0.00316525,0.00285224,0.00257029,0.00231633,0.0802121,0.357507,0.420085,0.284397;
1.35222,0.763783,0.325746,0.329225,0.664362,1.29286;8.10555 ,0.0551407 ,33.1392,7.33166 ,0.061206 ,43.8474,1.08197 ,6.43948 ,2.12901,1.07649 ,7.42251 ,22.1146,9.56482 ,0.0572442 ,15.2292,5.52218 ,0.524473 ,8;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0387726,0.0351364,0.0310991,0.0272613,0.023771,0.0206583,0.142889,0.442168,0.409995,0.227987,0.0981875,0.0384992,0.016338,0.104139,0.00611884,0.00488463,0.00411018,0.00351405,0.0030172,0.00259307,0.036823,0.0337955,0.0303852,0.0270898,0.0240405,0.0212722,0.0187848,0.016564,0.0145893,0.0128387,0.0112902,0.0557208,0.00871645,0.00765361,0.00671803,0.005895,0.00517139,0.00453553,0.00397701,0.00348661,0.00305616,0.0382801,0.00234731,0.00205646,0.00180162,0.00157819,0.00138233,0.00121067,0.00106025,0.000928439,0.00081296;
1.15362,0.848725,0.341646,0.37086,0.664362,1.41116;8.3078 ,0.0568298 ,32.227,7.00084 ,0.0646671 ,45.8772,1.0001 ,6.53515 ,2.04924,1.00003 ,9.68905 ,22.3117,10 ,0.0534233 ,14.0692,6.00669 ,0.521549 ,52.0027;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0448549,0.0384933,0.0330329,0.0283468,0.0243253,0.0208743,0.0179128,0.0153714,0.0131906,0.0113191,0.0097132,0.0083351,0.0789366,0.00613799,0.0052669,0.00451963,0.00387838,0.00332811,0.00285591,0.00245071,0.036624,0.0329411,0.0296321,0.0266586,0.0239864,0.0215844,0.019425,0.0174834,0.0157374,0.0141671,0.0747278,0.0114842,0.0103407,0.00931203,0.00838628,0.0075531,0.00680316,0.00612807,0.00552032,0.00497312,0.00448042,0.00403675,0.0036372,0.0512639,0.00295383,0.0026613,0.00239832,0.00216142,0.00194798,0.00175569,0.0868633;
1.30979,0.737404,0.333179,0.347622,0.664362,1.25913;8.3078 ,0.0568298 ,32.227,7.69764 ,0.0659523 ,42.1847,1.0001 ,7.32544 ,2.32973,1.07706 ,9.07445 ,20.4462,10 ,0.0534233 ,14.0692,5.24679 ,0.527474 ,52.4209;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0396731,0.0346131,0.0301976,0.0263451,0.0229839,0.0200514,0.0174931,0.0152611,0.0133139,0.0116151,0.0101331,0.00884018,0.0794963,0.00672843,0.00586966,0.00512071,0.00446732,0.0038973,0.0335223,0.0314257,0.0288866,0.0263403,0.0239135,0.0216505,0.0195648,0.0176558,0.0159166,0.0143372,0.0129061,0.0116118,0.0808053,0.00938812,0.00843696,0.00758034,0.00680913,0.00611514,0.00549091,0.00492963,0.00442512,0.00397174,0.0889608,0.00320087,0.00287,0.00257498,0.00231011,0.00207235,0.00185895,0.00166743,0.00149556,0.00134135,0.156;
1.30979,0.692461,0.325746,0.37086,0.664362,1.41116;8.3078 ,0.0568298 ,32.227,7.69764 ,0.0659523 ,42.1847,1.0001 ,6.84174 ,2.39873,1.01088 ,10 ,32.0379,10 ,0.0534233 ,14.0692,6.00669 ,0.521549 ,52.0027;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0411317,0.035541,0.0307093,0.0265342,0.0229265,0.0198093,0.0171158,0.0147886,0.0127778,0.0110403,0.00953913,0.00824205,0.0789055,0.00615328,0.00531635,0.00459345,0.00396885,0.00342917,0.00296288,0.00256,0.0022119,0.00191113,0.00165125,0.00142672,0.00123272,0.00106509,0.000920263,0.000795127,0.000687007,0.000593588,0.103805,0.0304648,0.0276675,0.0250963,0.0227491,0.0206129,0.0186722,0.0169109,0.0153135,0.0138654,0.0927448,0.0113666,0.0102876,0.00931245,0.0084294,0.00762985,0.00690595,0.0062506,0.00565734,0.0051203,0.0899151;
1.30979,0.737404,0.325746,0.303376,0.664362,1.41116;8.3078 ,0.0568298 ,32.227,7.69764 ,0.0659523 ,42.1847,1.0001 ,6.84174 ,2.39873,1.0001 ,9.10479 ,23.1969,10 ,0.048513 ,14.0056,6.00669 ,0.521549 ,52.0027;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0411317,0.035541,0.0307093,0.0265342,0.0229265,0.0198093,0.0171158,0.0147886,0.0127778,0.0110403,0.00953913,0.00824205,0.0354313,0.00615302,0.00531635,0.00459345,0.00396885,0.00342917,0.00296288,0.00256,0.0022119,0.0317609,0.028398,0.0253924,0.0227062,0.0203054,0.0181596,0.0162415,0.0145269,0.0129941,0.0819863,0.0103986,0.00930264,0.00832284,0.00744662,0.00666296,0.00596205,0.00533511,0.00477431,0.00427264,0.0892202,0.00342462,0.00306307,0.00274164,0.00245402,0.00219666,0.00196635,0.00176024,0.00157579,0.0014107,0.0865438;
1.37095,0.755613,0.311288,0.350392,0.690439,1.41116;7.99552 ,0.0620654 ,31.1763,7.43041 ,0.0705396 ,42.7671,1.0001 ,7.27547 ,2.30386,1.16587 ,9.20991 ,21.3204,10 ,0.0534233 ,14.0692,6.00669 ,0.521549 ,52.0027;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0372861,0.0325001,0.0283276,0.0246904,0.0215202,0.0187569,0.0163484,0.0142491,0.0124194,0.0108246,0.00943456,0.00822304,0.0817687,0.00624702,0.00544457,0.0047454,0.00413602,0.00360489,0.00314197,0.0281876,0.0279991,0.0266558,0.0249375,0.0231076,0.0212826,0.0195201,0.0178491,0.0162832,0.0148277,0.137343,0.0122458,0.0111085,0.0100695,0.009121,0.00825652,0.0074698,0.0067547,0.00610539,0.00551634,0.00498236,0.120569,0.00406771,0.00366448,0.0033061,0.00298211,0.00268933,0.00242484,0.00218598,0.00197034,0.0017757,0.086881;
1.30979,0.692461,0.325746,0.31988,0.65254,1.41116;8.3078 ,0.0568298 ,32.227,7.69764 ,0.0659523 ,42.1847,1.00002 ,6.70833 ,2.22905,1.00003 ,9.68905 ,22.3117,10 ,0.0534233 ,14.0692,6.00669 ,0.521549 ,52.0027;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0418322,0.0360395,0.0310487,0.0267489,0.0230446,0.0198533,0.0171038,0.0147352,0.0126945,0.0109365,0.00942193,0.00811711,0.0774997,0.00602481,0.00519021,0.00447143,0.00385218,0.0033187,0.0028591,0.00246314,0.0318977,0.0286845,0.025798,0.0232047,0.0208745,0.0187804,0.0168981,0.015206,0.0136847,0.0123168,0.0814492,0.00998035,0.0089848,0.00808941,0.00728381,0.00655891,0.00590658,0.00531947,0.00479104,0.00431536,0.0840787,0.00350378,0.0031545,0.00284194,0.00256047,0.00230699,0.0020787,0.00187308,0.00168787,0.00152104,0.0866516;
1.28357,0.797948,0.337202,0.36479,0.664362,1.41116;8.3078 ,0.0568298 ,32.227,7.69764 ,0.0659523 ,42.1847,1.0001 ,6.84174 ,2.39873,1.01088 ,10 ,32.0379,10 ,0.0534233 ,14.0692,6.00669 ,0.521549 ,52.0027;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0425782,0.0367909,0.0317893,0.0274673,0.0237328,0.0205059,0.0177178,0.0153087,0.0132271,0.0114286,0.0098746,0.0085319,0.0791559,0.00636967,0.00550331,0.00475499,0.00410842,0.00354977,0.00306708,0.00265003,0.00228968,0.00197834,0.00170933,0.00147689,0.00127607,0.00110255,0.000952627,0.00082309,0.000711167,0.000614463,0.101875,0.0299891,0.0272344,0.0247026,0.0223915,0.0202883,0.0183776,0.0166436,0.015071,0.0136456,0.104762,0.0111862,0.0101238,0.00916399,0.00829485,0.00750792,0.00679547,0.0061505,0.00556665,0.00503814,0.0898407;
1.30979,0.755029,0.325746,0.36479,0.664362,1.41116;8.3078 ,0.0568298 ,32.227,7.62805 ,0.0667571 ,37.372,1.0001 ,7.5897 ,1.91457,1.00003 ,9.68905 ,22.3117,10 ,0.052248 ,13.1084,6.00669 ,0.521549 ,52.0027;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0.0376157,0.0329745,0.0289051,0.0253376,0.0222102,0.0194688,0.0170657,0.0149592,0.0131127,0.0114941,0.0100753,0.00883162,0.0665945,0.00678599,0.0059482,0.00521395,0.00457033,0.00400616,0.00351164,0.00307815,0.00269818,0.0363212,0.0327,0.0294411,0.0265081,0.0238684,0.0214925,0.0193539,0.0174289,0.0156959,0.0141359,0.083094,0.0114671,0.0103283,0.0093032,0.0083801,0.0983864,0.0068031,0.00612616,0.00551903,0.00497223,0.00447974,0.00403615,0.00363659,0.00327667,0.00295246,0.0026604,0.00239729,0.00216026,0.00194671,0.00175431,0.0868619;
1.30979,0.692461,0.325746,0.358711,0.664362,1.41116;8.3078 ,0.0568298 ,32.227,7.69764 ,0.0659523 ,42.1847,1.0001 ,6.84174 ,2.39873,1.01088 ,10 ,32.0379,10 ,0.0534233 ,14.0692,6.00669 ,0.521549 ,52.0027;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0411317,0.035541,0.0307093,0.0265342,0.0229265,0.0198093,0.0171158,0.0147886,0.0127778,0.0110403,0.00953913,0.00824205,0.0789055,0.00615328,0.00531635,0.00459345,0.00396885,0.00342917,0.00296288,0.00256,0.0022119,0.00191113,0.00165125,0.00142672,0.00123272,0.00106509,0.000920263,0.000795127,0.000687007,0.000593588,0.102726,0.0294814,0.0267737,0.0242851,0.0220132,0.0199457,0.0180675,0.0163629,0.014817,0.0134157,0.0923375,0.0109977,0.00995353,0.0090099,0.00815544,0.00738178,0.00668135,0.00604724,0.00547322,0.00495362,0.0897642;
